show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_num
s1,movie,Dick Johnson Is Dead,kirsten johnson,unknown,united states,2021-09-25,2020,pg-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",90.0
s2,tv show,Blood & Water,unknown,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",south africa,2021-09-24,2021,tv-ma,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2.0
s3,tv show,Ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",unknown,2021-09-24,2021,tv-ma,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",1.0
s4,tv show,Jailbirds New Orleans,unknown,unknown,unknown,2021-09-24,2021,tv-ma,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",1.0
s5,tv show,Kota Factory,unknown,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,2021-09-24,2021,tv-ma,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2.0
s6,tv show,Midnight Mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",unknown,2021-09-24,2021,tv-ma,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",1.0
s7,movie,My Little Pony: A New Generation,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr",unknown,2021-09-24,2021,pg,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",91.0
s8,movie,Sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",2021-09-24,1993,tv-ma,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",125.0
s9,tv show,The Great British Baking Show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,2021-09-24,2021,tv-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",9.0
s10,movie,The Starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,2021-09-24,2021,pg-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,104.0
s11,tv show,"Vendetta: Truth, Lies and The Mafia",unknown,unknown,unknown,2021-09-24,2021,tv-ma,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",1.0
s12,tv show,Bangkok Breaking,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",unknown,2021-09-23,2021,tv-ma,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",1.0
s13,movie,Je Suis Karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",2021-09-23,2021,tv-ma,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",127.0
s14,movie,Confessions of an Invisible Girl,bruno garotti,"klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",unknown,2021-09-22,2021,tv-pg,91 min,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",91.0
s15,tv show,Crime Stories: India Detectives,unknown,unknown,unknown,2021-09-22,2021,tv-ma,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,1.0
s16,tv show,Dear White People,unknown,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",united states,2021-09-22,2021,tv-ma,4 Seasons,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",4.0
s17,movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"pedro de echave garcía, pablo azorín williams",unknown,unknown,2021-09-22,2020,tv-ma,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",67.0
s18,tv show,Falsa identidad,unknown,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",mexico,2021-09-22,2020,tv-ma,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2.0
